episode_id,repo,edit_distance_writes,semantic_ratio,investment_tokens,requested_condition,selected_condition,seed,payload_tokens,correct_action,action,action_correct,recovery_success,accepted_write,touched_tests_pass,repeat_refusal,recovery_tokens,model_prompt_tokens,model_completion_tokens,recovery_tool_calls,policy_action,policy_action_correct,policy_prompt_tokens,policy_completion_tokens,policy_wall_clock_seconds,policy_source,payload_action,payload_action_correct,deferred_to_payload,receiver_context_target_tokens,receiver_trajectory_tokens,refusal_position,payload_context_ratio,notes
capped_advance-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,10,231,abandon,abandon,True,True,False,True,False,8584,8538,46,0,,,0,0,0.0,,,,,8000,8000,tail,0.027055516514406183,"The current file already implements the optional maximum while preserving the original behavior, fulfilling the task."
capped_advance-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,11,231,abandon,adapt,False,False,True,False,False,8644,8538,106,0,,,0,0,0.0,,,,,8000,8000,tail,0.027055516514406183,The previous edit failed due to a logic error in the limit calculation; this version correctly implements the max cap while preserving existing invariants.
capped_advance-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,12,231,abandon,abandon,True,True,False,True,False,8581,8538,43,0,,,0,0,0.0,,,,,8000,8000,tail,0.027055516514406183,The current file already implements the optional maximum parameter as required by the task.
capped_advance-adapt-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,10,201,adapt,adapt,True,True,True,True,False,8615,8508,107,0,,,0,0,0.0,,,,,8000,8000,tail,0.02362482369534556,"The file was modified to add a `minimum` parameter instead of the required `maximum`, so I am rebasing the correct implementation while preserving the existing revision constant."
capped_advance-adapt-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,11,201,adapt,adapt,True,True,True,True,False,8611,8508,103,0,,,0,0,0.0,,,,,8000,8000,tail,0.02362482369534556,"The file was updated with a minimum constraint instead of the required maximum, so I am rebasing the correct implementation while preserving the existing revision constant."
capped_advance-adapt-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,12,201,adapt,adapt,True,True,True,True,False,8610,8508,102,0,,,0,0,0.0,,,,,8000,8000,tail,0.02362482369534556,"The file was updated with a 'minimum' parameter, so I am rebasing the 'maximum' implementation while preserving the existing revision constant."
capped_advance-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,10,168,escalate,adapt,False,False,True,False,False,8574,8475,99,0,,,0,0,0.0,,,,,8000,8000,tail,0.01982300884955752,The current file incorrectly subtracts the step; I am rebasing to add the step and apply the maximum cap as required.
capped_advance-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,11,168,escalate,adapt,False,False,True,False,False,8579,8475,104,0,,,0,0,0.0,,,,,8000,8000,tail,0.01982300884955752,The current file incorrectly subtracts the step and lacks maximum logic; this replaces it with the correct addition and capping behavior while preserving the revision constant.
capped_advance-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,12,168,escalate,adapt,False,False,True,False,False,8580,8475,105,0,,,0,0,0.0,,,,,8000,8000,tail,0.01982300884955752,The current file incorrectly subtracts the step and lacks the maximum logic; this replaces it with the correct addition and capping behavior while preserving the existing constant.
casefold_lookup-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2050,P1,P1,10,278,abandon,abandon,True,True,False,True,False,8663,8613,50,0,,,0,0,0.0,,,,,8000,8000,tail,0.032276790897480555,"The current file already implements the required case-insensitive lookup with exact lookup as the default, fulfilling the task."
casefold_lookup-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2050,P1,P1,11,278,abandon,abandon,True,True,False,True,False,8663,8613,50,0,,,0,0,0.0,,,,,8000,8000,tail,0.032276790897480555,"The current file already implements the required case-insensitive lookup with exact lookup as the default, fulfilling the task."
casefold_lookup-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2050,P1,P1,12,278,abandon,abandon,True,True,False,True,False,8663,8613,50,0,,,0,0,0.0,,,,,8000,8000,tail,0.032276790897480555,"The current file already implements the required case-insensitive lookup with exact lookup as the default, fulfilling the task."
casefold_lookup-adapt-k8,rebuilt-action-crossed-corpus,8,0.8,2050,P1,P1,10,192,adapt,adapt,True,True,True,True,False,8672,8527,145,0,,,0,0,0.0,,,,,8000,8000,tail,0.022516711621906885,Rebased the edit to include the existing `aliases` parameter and revision constant while implementing the required case-insensitive logic.
casefold_lookup-adapt-k8,rebuilt-action-crossed-corpus,8,0.8,2050,P1,P1,11,192,adapt,adapt,True,True,True,True,False,8668,8527,141,0,,,0,0,0.0,,,,,8000,8000,tail,0.022516711621906885,The file was updated to include case-insensitive logic while preserving the existing aliases feature and revision constant.
casefold_lookup-adapt-k8,rebuilt-action-crossed-corpus,8,0.8,2050,P1,P1,12,192,adapt,adapt,True,True,True,True,False,8668,8527,141,0,,,0,0,0.0,,,,,8000,8000,tail,0.022516711621906885,The file was updated to add case-insensitive lookup while preserving the existing aliases logic and revision constant.
casefold_lookup-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2050,P1,P1,10,172,escalate,adapt,False,False,True,False,False,8635,8507,128,0,,,0,0,0.0,,,,,8000,8000,tail,0.02021864347008346,The current file was overwritten with an incorrect implementation; this response restores the correct case-insensitive logic while preserving the existing revision constant.
casefold_lookup-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2050,P1,P1,11,172,escalate,adapt,False,False,True,False,False,8635,8507,128,0,,,0,0,0.0,,,,,8000,8000,tail,0.02021864347008346,The current file was overwritten with invalid logic; I am rebasing the correct case-insensitive implementation while preserving the existing revision constant.
casefold_lookup-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2050,P1,P1,12,172,escalate,adapt,False,False,True,False,False,8635,8507,128,0,,,0,0,0.0,,,,,8000,8000,tail,0.02021864347008346,The current file was overwritten with incorrect logic; I am rebasing the correct case-insensitive implementation while preserving the existing revision constant.
centered_slice-abandon-k8,rebuilt-action-crossed-corpus,8,0.625,2160,P1,P1,10,312,abandon,adapt,False,False,True,False,False,8806,8662,144,0,,,0,0,0.0,,,,,8000,8000,tail,0.03601939505887786,The previous edit was rejected due to a logic error in the right-bias calculation; this version corrects the formula while preserving the existing revision constant.
centered_slice-abandon-k8,rebuilt-action-crossed-corpus,8,0.625,2160,P1,P1,11,312,abandon,adapt,False,False,True,False,False,8816,8662,154,0,,,0,0,0.0,,,,,8000,8000,tail,0.03601939505887786,"The file was already updated by another agent to implement the right-biased logic, so I am rebasing my edit to match the current state."
centered_slice-abandon-k8,rebuilt-action-crossed-corpus,8,0.625,2160,P1,P1,12,312,abandon,adapt,False,False,True,False,False,8808,8662,146,0,,,0,0,0.0,,,,,8000,8000,tail,0.03601939505887786,"The file was updated by another engineer to implement the required right-biased slicing logic, fulfilling the task."
centered_slice-adapt-k8,rebuilt-action-crossed-corpus,8,0.5714285714285714,2160,P1,P1,10,275,adapt,adapt,True,True,True,True,False,8780,8625,155,0,,,0,0,0.0,,,,,8000,8000,tail,0.03188405797101449,Rebased the rejected edit to include the new reverse parameter and right_bias logic while preserving the existing revision constant.
centered_slice-adapt-k8,rebuilt-action-crossed-corpus,8,0.5714285714285714,2160,P1,P1,11,275,adapt,adapt,True,True,True,True,False,8781,8625,156,0,,,0,0,0.0,,,,,8000,8000,tail,0.03188405797101449,Rebased the proposed right-biased logic onto the current file which added a reverse parameter and a revision constant.
centered_slice-adapt-k8,rebuilt-action-crossed-corpus,8,0.5714285714285714,2160,P1,P1,12,275,adapt,adapt,True,True,True,True,False,8784,8625,159,0,,,0,0,0.0,,,,,8000,8000,tail,0.03188405797101449,The file was rebased to include the new `right_bias` parameter while preserving the existing `reverse` logic and module constant.
centered_slice-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2160,P1,P1,10,212,escalate,adapt,False,False,True,False,False,8703,8562,141,0,,,0,0,0.0,,,,,8000,8000,tail,0.024760569960289653,Rebasing the implementation to support right-biased even slices while preserving the existing invariant and adding the missing validation.
centered_slice-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2160,P1,P1,11,212,escalate,adapt,False,False,True,False,False,8705,8562,143,0,,,0,0,0.0,,,,,8000,8000,tail,0.024760569960289653,"The current file lacks the required logic and error handling, so I am rebasing the correct implementation while preserving the existing revision constant."
centered_slice-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2160,P1,P1,12,212,escalate,adapt,False,False,True,False,False,8702,8562,140,0,,,0,0,0.0,,,,,8000,8000,tail,0.024760569960289653,The previous edit was rejected; this adaptation restores the required right-biased logic and preserves the existing revision constant.
default_port-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2190,P1,P1,10,322,abandon,abandon,True,True,False,True,False,8707,8659,48,0,,,0,0,0.0,,,,,8000,8000,tail,0.037186742118027485,"The current file already implements the required default port logic and preserves the public invariant, fulfilling the task."
default_port-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2190,P1,P1,11,322,abandon,adapt,False,False,True,False,False,8788,8659,129,0,,,0,0,0.0,,,,,8000,8000,tail,0.037186742118027485,The previous edit was rejected for using complex tuple indexing; this version restores the clear logic while preserving the new signature and the existing revision constant.
default_port-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2190,P1,P1,12,322,abandon,abandon,True,True,False,True,False,8705,8659,46,0,,,0,0,0.0,,,,,8000,8000,tail,0.037186742118027485,The current file already implements the required default port logic and preserves the explicit-port parsing invariant.
default_port-adapt-k8,rebuilt-action-crossed-corpus,8,0.75,2190,P1,P1,10,203,adapt,adapt,True,True,True,True,False,8676,8540,136,0,,,0,0,0.0,,,,,8000,8000,tail,0.023770491803278688,Rebased the edit to accept default_port while preserving the existing strip_host logic and revision constant.
default_port-adapt-k8,rebuilt-action-crossed-corpus,8,0.75,2190,P1,P1,11,203,adapt,adapt,True,True,True,True,False,8690,8540,150,0,,,0,0,0.0,,,,,8000,8000,tail,0.023770491803278688,The file was rejected due to a new signature; I am rebasing the edit to add the default_port parameter while preserving the existing strip_host logic and revision constant.
default_port-adapt-k8,rebuilt-action-crossed-corpus,8,0.75,2190,P1,P1,12,203,adapt,adapt,True,True,True,True,False,8679,8540,139,0,,,0,0,0.0,,,,,8000,8000,tail,0.023770491803278688,The file was rebased to include the new `default_port` parameter while preserving the existing `strip_host` logic and revision constant.
default_port-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2190,P1,P1,10,175,escalate,adapt,False,False,True,False,False,8635,8512,123,0,,,0,0,0.0,,,,,8000,8000,tail,0.02055921052631579,The previous edit was incomplete; this version correctly implements default port handling while preserving explicit port parsing and existing declarations.
default_port-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2190,P1,P1,11,175,escalate,adapt,False,False,True,False,False,8635,8512,123,0,,,0,0,0.0,,,,,8000,8000,tail,0.02055921052631579,The previous edit was incomplete; this version correctly implements default port handling while preserving explicit port parsing and existing declarations.
default_port-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2190,P1,P1,12,175,escalate,adapt,False,False,True,False,False,8635,8512,123,0,,,0,0,0.0,,,,,8000,8000,tail,0.02055921052631579,The previous edit was incomplete; this version correctly implements default port handling while preserving explicit port parsing and existing declarations.
dot_segment_paths-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2220,P1,P1,10,279,abandon,abandon,True,True,False,True,False,8659,8613,46,0,,,0,0,0.0,,,,,8000,8000,tail,0.03239289446185998,"The current file already implements the required `remove_dots` functionality, fulfilling the task."
dot_segment_paths-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2220,P1,P1,11,279,abandon,abandon,True,True,False,True,False,8656,8613,43,0,,,0,0,0.0,,,,,8000,8000,tail,0.03239289446185998,The current file already implements the requested task with the correct signature and behavior.
dot_segment_paths-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2220,P1,P1,12,279,abandon,abandon,True,True,False,True,False,8657,8613,44,0,,,0,0,0.0,,,,,8000,8000,tail,0.03239289446185998,The current file already implements the requested optional dot removal and preserves the existing invariant.
dot_segment_paths-adapt-k8,rebuilt-action-crossed-corpus,8,1.0,2220,P1,P1,10,225,adapt,adapt,True,True,True,True,False,8684,8559,125,0,,,0,0,0.0,,,,,8000,8000,tail,0.026288117770767613,Rebased the rejected edit to include the required remove_dots parameter while preserving the existing revision constant and slash trimming logic.
dot_segment_paths-adapt-k8,rebuilt-action-crossed-corpus,8,1.0,2220,P1,P1,11,225,adapt,adapt,True,True,True,True,False,8682,8559,123,0,,,0,0,0.0,,,,,8000,8000,tail,0.026288117770767613,The file was updated to add the requested remove_dots parameter while preserving the existing revision constant and slash trimming behavior.
dot_segment_paths-adapt-k8,rebuilt-action-crossed-corpus,8,1.0,2220,P1,P1,12,225,adapt,adapt,True,True,True,True,False,8701,8559,142,0,,,0,0,0.0,,,,,8000,8000,tail,0.026288117770767613,Rebased the rejected edit to include the new `remove_dots` parameter while preserving the existing `trailing` logic and revision constant.
dot_segment_paths-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2220,P1,P1,10,182,escalate,adapt,False,False,True,False,False,8636,8516,120,0,,,0,0,0.0,,,,,8000,8000,tail,0.02137153593236261,The current file incorrectly replaces slashes; this adaptation restores the correct path normalization logic with optional dot removal.
dot_segment_paths-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2220,P1,P1,11,182,escalate,adapt,False,False,True,False,False,8639,8516,123,0,,,0,0,0.0,,,,,8000,8000,tail,0.02137153593236261,The current file incorrectly implements path normalization; this revision restores the correct logic while preserving the new signature and revision constant.
dot_segment_paths-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2220,P1,P1,12,182,escalate,adapt,False,False,True,False,False,8638,8516,122,0,,,0,0,0.0,,,,,8000,8000,tail,0.02137153593236261,The current file incorrectly implements path normalization; this revision restores the correct logic while preserving the new signature and invariant.
field_projection-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2170,P1,P1,10,294,abandon,abandon,True,True,False,True,False,8661,8618,43,0,,,0,0,0.0,,,,,8000,8000,tail,0.03411464376885588,The current file already implements the required missing-field default and strict projection behavior.
field_projection-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2170,P1,P1,11,294,abandon,abandon,True,True,False,True,False,8661,8618,43,0,,,0,0,0.0,,,,,8000,8000,tail,0.03411464376885588,The current file already implements the required missing-field default and strict projection behavior.
field_projection-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2170,P1,P1,12,294,abandon,abandon,True,True,False,True,False,8665,8618,47,0,,,0,0,0.0,,,,,8000,8000,tail,0.03411464376885588,"The current file already implements the required missing-field default and strict projection behavior, fulfilling the task."
field_projection-adapt-k8,rebuilt-action-crossed-corpus,8,1.0,2170,P1,P1,10,207,adapt,abandon,False,False,False,False,False,8576,8531,45,0,,,0,0,0.0,,,,,8000,8000,tail,0.024264447309811275,"The current file already implements the required strict projection behavior, making the rejected edit unnecessary."
field_projection-adapt-k8,rebuilt-action-crossed-corpus,8,1.0,2170,P1,P1,11,207,adapt,abandon,False,False,False,False,False,8576,8531,45,0,,,0,0,0.0,,,,,8000,8000,tail,0.024264447309811275,"The current file already implements the required strict projection behavior, making the rejected edit unnecessary."
