episode_id,repo,edit_distance_writes,semantic_ratio,investment_tokens,requested_condition,selected_condition,seed,payload_tokens,correct_action,action,action_correct,recovery_success,accepted_write,touched_tests_pass,repeat_refusal,recovery_tokens,model_prompt_tokens,model_completion_tokens,recovery_tool_calls,notes
k1-local-validation,controlled-python-cases,1,0.5,140,P0,P0,0,6,adapt,adapt,True,False,False,False,True,260,0,0,4,Bare refusal does not expose a fresh edit baseline.
k1-local-validation,controlled-python-cases,1,0.5,140,P1,P1,0,70,adapt,adapt,True,True,True,True,False,120,0,0,2,Current content and diff are sufficient for local adaptation.
k1-local-validation,controlled-python-cases,1,0.5,140,P2,P2,0,80,adapt,adapt,True,True,True,True,False,120,0,0,2,Current content and diff are sufficient for local adaptation.
k1-local-validation,controlled-python-cases,1,0.5,140,P3,P3,0,111,adapt,adapt,True,True,True,True,False,120,0,0,2,Current content and diff are sufficient for local adaptation.
k1-local-validation,controlled-python-cases,1,0.5,140,P4,P4,0,93,adapt,adapt,True,True,True,True,False,120,0,0,2,Current content and diff are sufficient for local adaptation.
k1-local-validation,controlled-python-cases,1,0.5,140,P5,P5,0,83,adapt,adapt,True,True,True,True,False,120,0,0,2,Current content and diff are sufficient for local adaptation.
k1-local-validation,controlled-python-cases,1,0.5,140,P1-pad,P1-pad,0,111,adapt,adapt,True,True,True,True,False,120,0,0,2,Current content and diff are sufficient for local adaptation.
k1-local-validation,controlled-python-cases,1,0.5,140,adaptive,P1,0,70,adapt,adapt,True,True,True,True,False,120,0,0,2,Current content and diff are sufficient for local adaptation.
k2-compatible-signature,controlled-python-cases,2,1.0,420,P0,P0,0,6,adapt,adapt,True,False,False,False,True,260,0,0,4,Bare refusal does not expose a fresh edit baseline.
k2-compatible-signature,controlled-python-cases,2,1.0,420,P1,P1,0,69,adapt,adapt,True,True,True,True,False,120,0,0,2,Current content and diff are sufficient for local adaptation.
k2-compatible-signature,controlled-python-cases,2,1.0,420,P2,P2,0,81,adapt,adapt,True,True,True,True,False,120,0,0,2,Current content and diff are sufficient for local adaptation.
k2-compatible-signature,controlled-python-cases,2,1.0,420,P3,P3,0,107,adapt,adapt,True,True,True,True,False,120,0,0,2,Current content and diff are sufficient for local adaptation.
k2-compatible-signature,controlled-python-cases,2,1.0,420,P4,P4,0,90,adapt,adapt,True,True,True,True,False,120,0,0,2,Current content and diff are sufficient for local adaptation.
k2-compatible-signature,controlled-python-cases,2,1.0,420,P5,P5,0,81,adapt,adapt,True,True,True,True,False,120,0,0,2,Current content and diff are sufficient for local adaptation.
k2-compatible-signature,controlled-python-cases,2,1.0,420,P1-pad,P1-pad,0,107,adapt,adapt,True,True,True,True,False,120,0,0,2,Current content and diff are sufficient for local adaptation.
k2-compatible-signature,controlled-python-cases,2,1.0,420,adaptive,P1,0,69,adapt,adapt,True,True,True,True,False,120,0,0,2,Current content and diff are sufficient for local adaptation.
k4-redundant-cache,controlled-python-cases,4,1.0,1180,P0,P0,0,6,abandon,adapt,False,False,False,False,True,260,0,0,4,Bare refusal does not expose a fresh edit baseline.
k4-redundant-cache,controlled-python-cases,4,1.0,1180,P1,P1,0,68,abandon,adapt,False,False,True,False,False,310,0,0,5,Content-only feedback cannot resolve whether to adapt or stop.
k4-redundant-cache,controlled-python-cases,4,1.0,1180,P2,P2,0,81,abandon,abandon,True,True,False,True,False,25,0,0,1,"Intent, reasoning, trajectory, or directive resolves the action ambiguity."
k4-redundant-cache,controlled-python-cases,4,1.0,1180,P3,P3,0,126,abandon,abandon,True,True,False,True,False,25,0,0,1,"Intent, reasoning, trajectory, or directive resolves the action ambiguity."
k4-redundant-cache,controlled-python-cases,4,1.0,1180,P4,P4,0,96,abandon,abandon,True,True,False,True,False,25,0,0,1,"Intent, reasoning, trajectory, or directive resolves the action ambiguity."
k4-redundant-cache,controlled-python-cases,4,1.0,1180,P5,P5,0,82,abandon,abandon,True,True,False,True,False,25,0,0,1,"Intent, reasoning, trajectory, or directive resolves the action ambiguity."
k4-redundant-cache,controlled-python-cases,4,1.0,1180,P1-pad,P1-pad,0,126,abandon,adapt,False,False,True,False,False,310,0,0,5,Content-only feedback cannot resolve whether to adapt or stop.
k4-redundant-cache,controlled-python-cases,4,1.0,1180,adaptive,P5,0,82,abandon,abandon,True,True,False,True,False,25,0,0,1,"Intent, reasoning, trajectory, or directive resolves the action ambiguity."
k8-security-invariant,controlled-python-cases,8,0.75,2460,P0,P0,0,6,escalate,adapt,False,False,False,False,True,260,0,0,4,Bare refusal does not expose a fresh edit baseline.
k8-security-invariant,controlled-python-cases,8,0.75,2460,P1,P1,0,82,escalate,adapt,False,False,True,False,True,310,0,0,5,Content-only feedback cannot resolve whether to adapt or stop.
k8-security-invariant,controlled-python-cases,8,0.75,2460,P2,P2,0,94,escalate,escalate,True,True,False,True,False,45,0,0,1,"Intent, reasoning, trajectory, or directive resolves the action ambiguity."
k8-security-invariant,controlled-python-cases,8,0.75,2460,P3,P3,0,138,escalate,escalate,True,True,False,True,False,45,0,0,1,"Intent, reasoning, trajectory, or directive resolves the action ambiguity."
k8-security-invariant,controlled-python-cases,8,0.75,2460,P4,P4,0,120,escalate,escalate,True,True,False,True,False,45,0,0,1,"Intent, reasoning, trajectory, or directive resolves the action ambiguity."
k8-security-invariant,controlled-python-cases,8,0.75,2460,P5,P5,0,98,escalate,escalate,True,True,False,True,False,45,0,0,1,"Intent, reasoning, trajectory, or directive resolves the action ambiguity."
k8-security-invariant,controlled-python-cases,8,0.75,2460,P1-pad,P1-pad,0,138,escalate,adapt,False,False,True,False,True,310,0,0,5,Content-only feedback cannot resolve whether to adapt or stop.
k8-security-invariant,controlled-python-cases,8,0.75,2460,adaptive,P5,0,98,escalate,escalate,True,True,False,True,False,45,0,0,1,"Intent, reasoning, trajectory, or directive resolves the action ambiguity."
